data,title_x,title_y,title,value,tag,,,,
এটা কেন হচ্ছে? সংশ্লিষ্ট সকলের ডিপ্রেশনের ফলে? নাকি সরকার মনোনিত পরিচালনা পর্ষদের ব্যর্থতার কারণে?,-1,-1,2,-1,কিছুটা নেতিবাচক,,,,
আমাদের দেশের স্বাভাবিক অর্থনৈতিক গতিপ্রবাহকে বাধাগ্রস্ত করা হয়েছে। তাই এসব ঘটছে।,-1,-1,-1,-1,কিছুটা নেতিবাচক,,,,
চুরি নয় লুটপাট।,-1,-2,-2,-5,নিশ্চিত নেতিবাচক,,,,
ইসলামী ব্যাংকের বর্তমান অবস্থা দেখে মনে হয় শাসক হিসাবে জামাতের সাথেই আওয়ামী লীগ পারে না!,-2,-2,-2,-6,নিশ্চিত নেতিবাচক,,,,
একটা ভাল প্রতিষ্ঠান কিভাবে লুট হয়ে যাচেছ!,0,-1,0,0,নিরপেক্ষ,,,,
সরকার যাদের এই ব্যাংকে নিয়গ দিয়েছে তারা ব্যাংকিং এর 'ব' ও জানে না. এইটা ধবংস হবার পর এদের কলিজা ঠান্ডা হবে।,-1,-2,-2,-5,নিশ্চিত নেতিবাচক,,,,
পুরোপুরি আওয়ামীকরন হলেই আর এর অসতিতই থাকবেক না!,-2,-2,-2,-6,নিশ্চিত নেতিবাচক,,,,
এককথায় ব্যাংকটিতে ডাকাতি হয়েছে এবং হতেই থাকবে।,-1,-1,2,-1,কিছুটা নেতিবাচক,,,,
ইসলামি ব্যাংক প্রারম্ভ থেকেই গ্রাহকদের পছন্দের ব্যাংক ছিল। যার সাফল্য ইর্ষনীয়।এটা কার দ্বারা পরিচালিত সেটা মুখ্য বিষয় নয়? কিন্তু বর্তমান যে হাল দাঁড়াচ্ছে তাতে সাধারন গ্রাহকের আস্থা হারাবে!,-1,-1,-2,-1,কিছুটা নেতিবাচক,,,,
এরা যেখানেই যাবে সেখানেই চুরি হবে।,-1,-1,-2,-1,কিছুটা নেতিবাচক,,,,
এটা ভুলে গেলে চলবে না যে ব্যাংকটিতে নুতন পরিচালনা পর্ষদ এসেছে তাদের ব্যাংকটির সব কিছু বুঝে উঠতে একটু সময় লাগবে এটাই স্বাভাবিক।,-2,0,-2,-4,নিশ্চিত নেতিবাচক,,,,
শেয়ার প্রতি আয় কমেছে। শূন্য হয় নি এখনও। সরকারী [অর্থ মন্ত্রণায়ের নির্ধারিত ] মনোনীত  পর্ষদ যেদিন দায়িত্বভার নিয়েছে তখনই তা নির্ধারণ হয়ে গেছে। এর পর ব্যাংকের মূলধন  কমতে থাকবে ইনশাল্লাহ।,0,-1,1,1,কিছুটা ইতিবাচক,,,,
পুরোপুরি জামাতমুক্ত করা গেলেই লাভের মুখ দেখবে ইসলামি ব্যাংক,-1,-1,1,-1,কিছুটা নেতিবাচক,,,,
বিগত কয়েক বছরের অভিজ্ঞতা বলে ব্যাংকসহ শ্যেনদৃষ্টি যেখানে সর্বনাশ সেখানে।,1,1,0,2,নিশ্চিত ইতিবাচক,,,,
"দ্রুত জামাত প্রভাব মুক্ত করা হউক, গ্রাহকরা উপকৃত হবে।",-1,-1,-2,-1,কিছুটা নেতিবাচক,,,,
এই ব্যাংকটা বন্ধ হয়ে যাওয়াটাই দেশের জন্যে মঙ্গলজনক।,-1,0,0,0,নিরপেক্ষ,,,,
"ইদানিং যে গ্রুপ ইসলামি ব্যাংকের শেয়ার কিনছে, তাদের কাছে কি অালাদিনের চেরাগ অাছে? এত ব্যাংক তারা কিনছে কিভাবে?",1,1,-2,0,নিরপেক্ষ,,,,
"প্রবাসী বাংলাদেশিরা চলতি অর্থবছরের (২০১৮-১৯) প্রথম ৮ মাসে ১০,৪১০ দশমিক ২৯ মিলিয়ন মার্কিন ডলার রেমিট্যান্স পাঠিয়েছেন। এটি বিগত অর্থবছরের একই সময়ের তুলনায় ৯৪৯ দশমিক শূন্য ৬ মার্কিন ডলার বেশি। অর্থাৎ, এ সময়ে রেমিট্যান্স ১০ দশমিক শূন্য ৩ শতাংশ বৃদ্ধি পেয়েছে। বাংলাদেশ ব্যাংকের এক উপাত্তে এসব তথ্য দেওয়া হয়েছে। এখানে বিলিয়ন কথাটা বাদ গেছে দয়া করে আপনার রিপোর্টটি সংশোধন করুন.",-1,-1,-2,-1,কিছুটা নেতিবাচক,,,,
গরীবদের বেশী টানটান হতে নাই।,0,-1,-1,-1,কিছুটা নেতিবাচক,,,,
জ্বালানি খাতে সৌদি আরবের ১০ হাজার কোটি ডলার বিনিয়োগের অন্যতম প্রধান কারণ ভারত যাতে যুক্তরাষ্ট্র সৌদি আরবের কথা মত ইরান থেকে না কেনে।,-1,-1,-1,-1,কিছুটা নেতিবাচক,,,,
"সৌদির এটা বোঝা উচিত ,  ঋনগ্রস্থ দেউলিয়া দেশ পাকিস্তানের সাথে বন্দুত্ব না রেখে ইন্ডিয়ার দিকে অগ্রসর হওয়া ।  ইরান আর ভিয়েতনাম বলেও দুটো দেশ আছে এটা যেন সৌদি না ভুলে যায়  ।",-1,0,0,0,নিরপেক্ষ,,,,
"পাকিস্তান ভিক্ষা করে পেয়েছে।  ভারত পেয়েছে তার অর্থনৈতিক শক্তির জন্য।  আমরা কি ভিক্ষা করবো, নাকি নিজেদেরকে অর্থনৈতিক শক্তিতে রূপান্তরিত করে তারপর সৌদিদের কাছে বিনিয়োগের প্রস্তাব দেবো?",0,0,-1,0,নিরপেক্ষ,,,,
